category, question, answer
"Amazon Career Choice", "How long is the bootcamp?","The program will span 52 weeks, starting on April 1, 2024 and concluding on April 7, 2025."
"Amazon Career Choice", "Where are the bootcamps located?", "Everything for the Amazon Career Choice program will be virtual/online."
"Amazon Career Choice", "What are my Amazon class options?", "Currently, there is one program scheduled, launching April 2024. You can choose from a M/W, T/Th, or Saturday option."
"Amazon Career Choice", "Do I have to know how to code before I apply?", "The short answer is “no”.

…but it’s always a good sign if somebody has made some strides towards learning the craft on their own. A lot of our students start teaching themselves online and decide to take the next steps with our program. What we really care about is your natural aptitude because when we have the right raw materials, we can make a great programmer."
"Amazon Career Choice", "Do I need to provide my own computer?", "Yes, every student who enrolls will need to ensure they have access to a laptop and internet for the duration of the program."
"Amazon Career Choice", "How much does it cost?", "In order to be eligible for this program, you must have two full years of your education benefits available to you. You will submit the first payment request in March, 2024 before the program begins for the full amount of your 2024 tuition benefit. You will also submit a second payment request in January 2025 for the full amount of your 2025 benefit."
"Amazon Career Choice", "Are all residents of the United States eligible to apply for the training with Tech Elevator?","Residents of the United States who are eligible to work in the U.S. and who are at least 18 years of age may apply. However, please note that where you wish to work should inform whether or not Tech Elevator is the best choice for you. We have connections with remote employers across the country, but our strongest hiring partner relationships are in Texas, Michigan, Pennsylvania, Ohio and Delaware."
"Amazon Career Choice","Do you consider international applicants?","At this time, Tech Elevator is only able to consider applications from individuals residing in the continental United States."
"Amazon Career Choice","What are you admissions criteria?","To be considered for this cohort, you must meet all of Amazon’s requirements to be eligible for Career Choice. Additionally, you must meet the following:

Be at least 18 years of age
Be eligible to work in the United States without sponsorship
Reside within the United States
Have a laptop and internet access"
"Amazon Career Choice","If I don’t get accepted, can I reapply?","Yes, you may apply to a future Amazon Career Choice cohort."
"Amazon Career Choice","Do I need to study for the aptitude test?", "No! There is no need to study for the aptitude test as it does not include any coding questions. Just have a piece of paper and a pencil handy, minimize distractions, and do your best!"
"Amazon Career Choice","As a part-time student, will someone be available if I need extra support?","Yes! Tech Elevator staff (and classmates) will be available to support your independent study and will offer opportunities for assistance regularly throughout your cohort."
"Amazon Career Choice","How will Tech Elevator measure success throughout the program?","There will be academic performance benchmarks for each module, including exercises and an end-of-module summative assessment. Passing a module is based on a combination of exercise completion and your assessment score."
"Amazon Career Choice","What can I expect from the Pathway Program?","The Amazon Career Choice Pathway Program will include independent  work—including reading assignments, videos and quizzes. We will also provide Pathway Panel sessions including: Alumni Panel, Lessons I Learned in Tech, and employer showcases."
"Amazon Career Choice","Can I switch dates and times depending on my schedule?","No, once a student has enrolled, they must remain in that section for the entirety of the program. You will be allowed to indicate your preference, but Tech Elevator will make the final determination about which section you will be admitted to."
"Amazon Career Choice","When is tuition due?","You must initiate your payment request AND payment by Day 1 of the cohort."
"Amazon Career Choice","Is there a deposit required to secure a spot in the bootcamp, and if so, is it refundable?","No, there is no deposit required."
"Amazon Career Choice","What happens if I need to withdraw from the bootcamp before completing the program? Are there any refund policies in place?","You will need to notify the Director of Enterprise Accounts, Meredith Hendershott, in writing of your withdrawal.

No refunds will be given after the two week grace period."
"Amazon Career Choice","How do I change my Amazon hours?","You will need to work with your Amazon team to make any needed changes."
"Amazon Career Choice","What if I’ve already used some of my education benefits?","You need to have the entire amount available to you to enroll in the program at this time."
"Amazon Career Choice","Does my Amazon benefit cover full-tuition and fees for attending the program?","Yes it does, no additional payments or fees are required."
"Amazon Career Choice","How do payments work?","Please reference the Amazon Career Choice portal for details."
"Amazon Career Choice","I’m interested but the timing of this cohort doesn’t work for me. What should I do?","Stay tuned for details regarding future cohorts!"
"Amazon Career Choice","What holidays will be observed through the program?","The will be no class from 11/11/2024 to 1/12/2025."
"Amazon Career Choice","What time zone are classes running on?","Classes will be held on Eastern Standard Time."
"Amazon Career Choice","What deadlines do I need to be aware of?","Applications Open: Jan 2, 2024
Applications Close: March 4, 2024
Payment Requests deadline: March 30, 2024
Prework Due: March 30, 2024"
"Amazon Career Choice","What if I don’t have a laptop?","You will need to ensure you have access to a laptop for the duration of the program. Please find the required specifications here."
"Amazon Career Choice","What if I don’t have access to reliable internet?","You will need to ensure you have access to reliable internet for the duration of the program."
"Amazon Career Choice","What kind of computer do I need?","Find the minimum computer specifications for the Amazon Career Choice program here."
"Amazon Career Choice","How can I reach a person to help me?","If you still have questions that haven’t been answered by the info session and FAQs, reach out to reskilling@techelevator.com and include “Amazon Career Choice” in the subject line. You can also call 877-606-3203 x 41 to reach the Tech Elevator Amazon Career Choice voicemail box. Leave a message and we’ll get back to you within 2 business days."
"Amazon Career Choice","How quickly will I know if I have been accepted to the program?","You’ll be notified in 7-10 business days whether or not you’ve been accepted."
"Amazon Career Choice","I need a sign language interpreter to take this course. How do I secure this accommodation?","If you need a sign language interpreter, please let Amazon know by March 1, 2024, and they can help you identify resources."
"Amazon Career Choice","When will my Career Choice payment request be approved?","The status of all payment requests will show as “Pending School Review” until the end of the drop period, two weeks after the beginning of class. If you withdraw from the course before the end of the drop period, your payment request will be denied and the balance of your Career Choice funds will be available to you again. Students who are still enrolled after the end of the drop period will have their payments approved at that time."
"Amazon Career Choice","When will Amazon Career Choice classes meet?","You will either be assigned to a section that meets on Mondays and Wednesdays from 6:00 to 8:00 pm Eastern, or to a section that meets on Saturdays from 9:00 am to 1:00 pm Eastern Standard Time (EST). We previously offered a Tuesday/Thursday section, but we have removed that option due to lack of interest from applicants."
"AutoZone","How long will the program be?","The program will span 14 weeks, starting on March 20, 2023 and concluding on June 23, 2023."
"AutoZone","Will I still work in my current job?","No, since the program is full-time, you will need to step away from your current role to focus on becoming a Software Developer for AutoZone."
"AutoZone","What do I need to become a student—when it comes to both background and equipment?","The coding bootcamp (Java) requires 0 prior coding experience! We do, however, select candidates based on problem-solving ability using our Aptitude Test. Related to equipment, Tech Elevator will provide a laptop for you to use throughout the bootcamp."
"AutoZone","Does it matter where I’m located?","This program is available for AutoZoners in Atlanta, Austin, Dallas and Memphis markets. Employees at the Terrell and Lexington distribution centers are also eligible to apply. Instruction will be given virtually, however, AutoZoners will learn alongside their peers at their nearest regional office location.

There will be an in-person portion in Memphis during the final week of the bootcamp (week 14)—during which students will present their Capstone Presentations and attend an in-person graduation ceremony."
"AutoZone","What happens after the bootcamp?","Upon graduation, you will become a member of AutoZone’s IT team—either as a Software Developer, Analyst, etc."
"Career Services","Will I be guaranteed a job after graduating?","What you get out of this program is directly related to what you put in, and we’re very proud of our student outcomes! We provide 365 days of career search support post graduation to ensure your success in landing your next great tech role."
"Career Services","What types of employers do you work with?","Over 800 companies and counting have made offers to Tech Elevator graduates. We work with top employers in a variety of industries, from Fortune 500 companies to startups, and everything in between. Check out some of the employers in our hiring network."
"Career Services","What kind of career development do you offer?","We offer 30+ career sessions and hours of 1-on-1 career coaching through our Pathway Program™. Our expert coaches will help you develop your soft skills so that you feel confident and ready to land a meaningful job in tech. Career sessions include: elevator pitch practice, CliftonStrengths assessments, resume review, 4 weeks of interview prep, how to build your professional network and more."
"Career Services","Why do you focus on discovering my strengths?","Learning how to code is one part of your development, but digging deeper to discover your natural strengths and passions will help you become a well-rounded candidate for your ideal job.

We use tools like CliftonStrengths to determine your top strengths and how you can use them during your job search."
"Career Services","How will I know if this is the right fit for me? ","Our number one goal is to make sure this program is the right fit for our students. Accelerated learning isn’t for everyone, and every situation is different so it’s important to do your research and make the best decision for you.

Here are a few ways to help determine if it’s a fit:

Read our reviews on Course Report or Career Karma

Attend a Virtual Open House to get program details

Take the aptitude test to see if you have what it takes to be a coder

Check out a free learn to code or career session to see if you enjoy coding"
"Career Services","What makes you different from other coding bootcamps?","Our instructors have decades of experience programming applications and mentoring junior developers. Our career coaches help connect you to the right career opportunities through the Pathway Program™.

Whether you’re changing careers, just beginning one, or adding onto an existing skill set, we help kick-start your career in tech."
"Career Services","I’m ready. How do I apply?","Great. Take our quick aptitude test, then, once you pass the Aptitude test you will be invited to apply to the program. Of course, you can always contact us with questions."
"Career Services","I have more financing-specific questions.","For more financing-specific FAQs, check out our Financing FAQs."
"Career Services","What development skills will I learn at Tech Elevator?","You will start by learning the Java programming language. By the time you graduate, you will be able to create dynamic, database-backed web applications. This will give you the foundational skills to hit the ground running as a junior web application developer.

Specific technologies you will learn include:

Java
HTML
CSS
JavaScript
SQL
You can view our school catalog for more information."
"Curriculum","Who teaches at Tech Elevator?","Our instructors are industry professionals with an average of 20 years working as software developers. They’re passionate about helping students start their careers in tech, and are invested in their success. Stop by an Open House to meet an instructor – either remotely or at a campus."
"Curriculum","What’s a typical day like in the bootcamp?","Most mornings consist of lectures and learning, and lots of fresh coffee. After we break for lunch, you get to test your skills with hands-on practice. This could consist of group work, headphones-on solo work, tutoring sessions or pairing programming assignments.

The best way to learn is to do, so you’ll literally be coding from day one."
"Curriculum","How can I prepare before bootcamp begins?","Once you’ve been accepted into Tech Elevator, we’ll be reaching out to you for best ways to prepare with exercises recommended by our instructors. In the meantime, Stanford’s Computer Science 101 is a great place to start."
"Curriculum","What if I can’t keep up with curriculum?","In addition to your instructor in the classroom, each cohort has dedicated instructors who support extra work outside of the classroom. That means you can schedule tutoring sessions as much as you need to, ensuring you’re understanding concepts and implementing coding.

Remember, your cohort lead and instructors have a pretty good pulse on how you’re keeping up and will work with you if you feel like you’re getting behind or struggling in any way."
